index_1,index_2,weight
0,1,55.23
0,2,46.32
0,3,96.26
0,4,63.79
0,5,40.6
0,6,62.77
0,7,34.89
0,8,33.21
0,9,54.4
0,10,73.07
0,11,19.41
0,12,76.65
0,13,59.18
0,14,23.74
0,15,106.9
0,16,49.36
0,17,18.08
0,18,40.96
0,19,37.04
1,0,55.78
1,2,61.79
1,3,11.41
1,4,129.34
1,5,57.68
1,6,40.99
1,7,86.21
1,8,39.01
1,9,27.05
1,10,53.23
1,11,81.0
1,12,55.71
1,13,12.89
1,14,97.77
1,15,23.69
1,16,50.98
1,17,76.27
1,18,19.03
1,19,107.63
2,0,73.9
2,1,74.62
2,3,75.3
2,4,52.68
2,5,38.2
2,6,24.06
2,7,38.36
2,8,53.48
2,9,60.05
2,10,30.63
2,11,49.67
2,12,16.5
2,13,47.26
2,14,94.32
2,15,36.72
2,16,15.59
2,17,66.75
2,18,42.49
2,19,44.54
3,0,100.76
3,1,14.82
3,2,98.55
3,4,118.65
3,5,62.1
3,6,41.32
3,7,121.51
3,8,61.19
3,9,24.94
3,10,81.29
3,11,70.15
3,12,90.54
3,13,30.14
3,14,63.7
3,15,32.25
3,16,96.68
3,17,62.77
3,18,33.61
3,19,116.06
4,0,60.36
4,1,92.65
4,2,69.45
4,3,142.07
4,5,71.75
4,6,66.31
4,7,19.71
4,8,89.13
4,9,126.87
4,10,60.82
4,11,58.57
4,12,50.45
4,13,83.79
4,14,65.29
4,15,127.51
4,16,47.11
4,17,80.06
4,18,118.83
4,19,26.76
5,0,32.63
5,1,49.32
5,2,38.04
5,3,43.44
5,4,69.2
5,6,28.24
5,7,31.51
5,8,24.75
5,9,48.7
5,10,75.68
5,11,34.45
5,12,40.8
5,13,34.39
5,14,39.54
5,15,38.98
5,16,26.52
5,17,33.72
5,18,33.19
5,19,60.06
6,0,78.91
6,1,44.72
6,2,29.22
6,3,47.13
6,4,57.88
6,5,29.88
6,7,71.76
6,8,53.75
6,9,42.27
6,10,41.25
6,11,54.5
6,12,28.32
6,13,30.0
6,14,97.41
6,15,18.7
6,16,34.36
6,17,43.9
6,18,41.01
6,19,60.34
7,0,41.68
7,1,85.44
7,2,42.9
7,3,109.24
7,4,19.45
7,5,50.29
7,6,50.83
7,8,67.92
7,9,73.98
7,10,50.19
7,11,32.65
7,12,35.37
7,13,81.44
7,14,49.86
7,15,56.62
7,16,22.4
7,17,58.56
7,18,56.72
7,19,19.28
8,0,32.76
8,1,39.52
8,2,53.95
8,3,62.67
8,4,78.67
8,5,31.49
8,6,77.96
8,7,82.79
8,9,34.78
8,10,67.99
8,11,31.49
8,12,64.95
8,13,45.16
8,14,27.43
8,15,65.06
8,16,65.23
8,17,10.82
8,18,28.65
8,19,78.81
9,0,59.11
9,1,29.86
9,2,52.77
9,3,39.05
9,4,91.17
9,5,33.57
9,6,65.14
9,7,91.51
9,8,22.96
9,10,107.4
9,11,72.35
9,12,78.53
9,13,32.21
9,14,43.92
9,15,72.6
9,16,67.86
9,17,39.2
9,18,20.24
9,19,107.05
10,0,98.26
10,1,49.88
10,2,42.75
10,3,84.4
10,4,103.3
10,5,62.93
10,6,26.3
10,7,52.74
10,8,118.63
10,9,91.68
10,11,101.57
10,12,40.82
10,13,58.26
10,14,116.26
10,15,27.58
10,16,38.09
10,17,86.28
10,18,68.96
10,19,62.8
11,0,18.46
11,1,82.09
11,2,58.33
11,3,105.59
11,4,38.51
11,5,39.27
11,6,66.77
11,7,22.57
11,8,37.38
11,9,53.13
11,10,62.43
11,12,50.74
11,13,70.09
11,14,42.48
11,15,73.28
11,16,25.81
11,17,31.66
11,18,68.76
11,19,24.06
12,0,49.92
12,1,83.68
12,2,11.91
12,3,81.54
12,4,45.53
12,5,34.04
12,6,27.63
12,7,37.27
12,8,82.5
12,9,98.12
12,10,27.42
12,11,45.4
12,13,46.87
12,14,72.63
12,15,43.16
12,16,16.97
12,17,51.63
12,18,81.29
12,19,61.46
13,0,74.73
13,1,12.83
